base_task,encoder,head,level,metric,train_seed_mean,train_seed_sd,train_seed_min,train_seed_max,n_train_seeds,infer_seed_sd,n_units,n_subjects,train_seed_range,boot_ci_lo,boot_ci_hi,boot_ci_width,legacy_value,legacy_ci_lo,legacy_ci_hi,legacy_z,legacy_inside_seed_range
B2_corrected,pointnet2,proto,subject,f1_class::CHARGE Syndrome,0.08182750582750581,0.08027148554426669,0.0,0.1768298368298368,5,0.06014885036312169,169,169,0.1768298368298368,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::CdLS,0.18804899503661113,0.06668661206358688,0.11124871001031991,0.27372549019607845,5,0.04204249561019524,169,169,0.16247678018575853,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Cockayne Syndrome,0.6530793650793651,0.15330813326063267,0.44000000000000006,0.8706349206349205,5,0.08366829728714634,169,169,0.4306349206349205,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Cohen Syndrome,0.6818124098124099,0.15160846628297786,0.4688888888888889,0.888888888888889,5,0.0687843010002144,169,169,0.42000000000000004,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Costello Syndrome,0.4811216932362443,0.05817611473680482,0.409047619047619,0.5321678321678321,5,0.06386329585356708,169,169,0.12312021312021315,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Crouzon Syndrome,0.0,0.0,0.0,0.0,5,0.0,169,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Down Syndrome,0.6878432057084809,0.04458212106050443,0.6462121212121212,0.752020202020202,5,0.024460199208667554,169,169,0.1058080808080808,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Ehlers-Danlos Syndrome,0.349995337995338,0.13707088904319045,0.22333333333333333,0.5413986013986014,5,0.0352378070613036,169,169,0.3180652680652681,,,,,,,,False
B2_corrected,pointnet2,proto,subject,"f1_class::Facial Dysmorphia, possibly genetic",0.15166235725059252,0.1055919054913233,0.05,0.31384615384615383,5,0.10096364044928392,169,169,0.26384615384615384,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Jacobsen Syndrome,0.3380981240981241,0.1462018663566049,0.20080808080808082,0.5476190476190477,5,0.0786653272355527,169,169,0.34681096681096685,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Joubert Syndrome,0.3134764943406752,0.05810404441281461,0.25297361049683026,0.40306563510224824,5,0.05346037156931349,169,169,0.15009202460541798,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Loeys-Dietz Syndrome,0.4109134786781845,0.11301529820163865,0.2983682983682983,0.5591176470588235,5,0.06617021531523075,169,169,0.2607493486905252,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Marfan Syndrome,0.46678121775025794,0.08632076540769774,0.35447712418300653,0.5930650154798761,5,0.0600335641828354,169,169,0.23858789129686958,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Mucopolysaccharidosis type IIIB (Sanfilippo B),0.0,0.0,0.0,0.0,5,0.0,169,169,0.0,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Noonan Syndrome,0.3446823046234811,0.08758207431153502,0.19230769230769226,0.4064285714285714,5,0.04909764480397981,169,169,0.21412087912087915,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Pallister-Killian Syndrome,0.5358827838827838,0.07924097858182481,0.43809523809523804,0.6564102564102564,5,0.05893236377847959,169,169,0.21831501831501837,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Phelan McDermid Syndrome,0.838486202330596,0.029275918916526183,0.807218045112782,0.87953216374269,5,0.033994540067534,169,169,0.07231411862990811,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Pitt Hopkins,0.45766233766233766,0.10852872706622181,0.36777777777777776,0.6142857142857142,5,0.07602107043755904,169,169,0.24650793650793645,,,,,,,,False
