task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
B1_corrected,pointnet2,knn11,scan,macro_auc,5,0.729294563698153,0.0010840433298791013,0.7279286780983016,0.7307716981975737,False,0.7297649222052944,0.7103696679971547,0.7490924023787331,2000,733,1840
B1_corrected,pointnet2,knn11,subject,accuracy,5,0.2933151432469304,0.012761450841657375,0.27694406548431105,0.30559345156889495,False,0.2934491132332879,0.2638403819918144,0.3219645293315143,2000,733,733
B1_corrected,pointnet2,knn11,subject,macro_f1,5,0.19169917121241836,0.01067461991421027,0.18145847370129425,0.20535009130367934,False,0.18664159523877405,0.15265644701473985,0.22176090909065002,2000,733,733
B1_corrected,pointnet2,knn11,subject,macro_auc,5,0.7598985287140594,0.0010684772011938615,0.7588791994571665,0.7614634260223001,False,0.7598971103476974,0.7395437865829877,0.7789681324939083,2000,733,733
B2_corrected,geommlp,softmax,scan,accuracy,1,0.16842105263157894,0.0,0.16842105263157894,0.16842105263157894,True,0.16775669991078473,0.12301251008878127,0.21730187121629058,2000,169,475
B2_corrected,geommlp,softmax,scan,macro_f1,1,0.13110754102070213,0.0,0.13110754102070213,0.13110754102070213,True,0.12900380468057737,0.09481910763205158,0.16511688799009885,2000,169,475
B2_corrected,geommlp,softmax,scan,macro_auc,1,0.7681732315128335,0.0,0.7681732315128335,0.7681732315128335,True,0.7637101256084844,0.7357299185911188,0.7896524609257765,2000,169,475
B2_corrected,geommlp,softmax,subject,accuracy,1,0.17751479289940827,0.0,0.17751479289940827,0.17751479289940827,True,0.17719230769230768,0.1242603550295858,0.23668639053254437,2000,169,169
B2_corrected,geommlp,softmax,subject,macro_f1,1,0.1381425935605502,0.0,0.1381425935605502,0.1381425935605502,True,0.1390018859661117,0.0948845639184315,0.18566939095905813,2000,169,169
B2_corrected,geommlp,softmax,subject,macro_auc,1,0.8016211472877149,0.0,0.8016211472877149,0.8016211472877149,True,0.794792684140594,0.7610035500584104,0.8272083441822594,2000,169,169
B2_corrected,geommlp,proto,scan,accuracy,1,0.16631578947368422,0.0,0.16631578947368422,0.16631578947368422,True,0.1656380655256329,0.12089923258884365,0.21162311651215654,2000,169,475
B2_corrected,geommlp,proto,scan,macro_f1,1,0.13549613540821556,0.0,0.13549613540821556,0.13549613540821556,True,0.1300405320094792,0.09473306550802152,0.16609274084196357,2000,169,475
B2_corrected,geommlp,proto,scan,macro_auc,1,0.7509570973405784,0.0,0.7509570973405784,0.7509570973405784,True,0.7535228938325707,0.7226786440133575,0.7855460178262851,2000,169,475
B2_corrected,geommlp,proto,subject,accuracy,1,0.17159763313609466,0.0,0.17159763313609466,0.17159763313609466,True,0.17136686390532546,0.11834319526627218,0.23076923076923078,2000,169,169
B2_corrected,geommlp,proto,subject,macro_f1,1,0.1524418118704637,0.0,0.1524418118704637,0.1524418118704637,True,0.1486687846444587,0.09735894621022005,0.2003343294287504,2000,169,169
B2_corrected,geommlp,proto,subject,macro_auc,1,0.7891034630903255,0.0,0.7891034630903255,0.7891034630903255,True,0.7889953184494373,0.7534385568708549,0.825776369343647,2000,169,169
B2_corrected,geommlp,knn11,scan,accuracy,1,0.17473684210526316,0.0,0.17473684210526316,0.17473684210526316,True,0.17529154983901446,0.139414321192053,0.2132890958083301,2000,169,475
B2_corrected,geommlp,knn11,scan,macro_f1,1,0.13736343336627865,0.0,0.13736343336627865,0.13736343336627865,True,0.13523166373397316,0.10553594874392595,0.16806015969865148,2000,169,475
B2_corrected,geommlp,knn11,scan,macro_auc,1,0.6860560652606227,0.0,0.6860560652606227,0.6860560652606227,True,0.6873813885692385,0.6521688594804936,0.721639075082282,2000,169,475
B2_corrected,geommlp,knn11,subject,accuracy,1,0.16568047337278108,0.0,0.16568047337278108,0.16568047337278108,True,0.1659319526627219,0.11242603550295859,0.22485207100591717,2000,169,169
B2_corrected,geommlp,knn11,subject,macro_f1,1,0.11216441619903482,0.0,0.11216441619903482,0.11216441619903482,True,0.11572666951337177,0.07783117329922444,0.15907656634930956,2000,169,169
B2_corrected,geommlp,knn11,subject,macro_auc,1,0.7153284083919772,0.0,0.7153284083919772,0.7153284083919772,True,0.7105852298420859,0.6705227925916004,0.7477375091709267,2000,169,169
B2_corrected,pointnet,softmax,scan,accuracy,1,0.14947368421052631,0.0,0.14947368421052631,0.14947368421052631,True,0.14924995133677788,0.10816243979530403,0.19254467306328407,2000,169,475
B2_corrected,pointnet,softmax,scan,macro_f1,1,0.1262383046071216,0.0,0.1262383046071216,0.1262383046071216,True,0.1273723406449626,0.09418641633290283,0.1589988495479734,2000,169,475
B2_corrected,pointnet,softmax,scan,macro_auc,1,0.8020553897857551,0.0,0.8020553897857551,0.8020553897857551,True,0.8048750118043461,0.777954007694019,0.8298251727592054,2000,169,475
B2_corrected,pointnet,softmax,subject,accuracy,1,0.1834319526627219,0.0,0.1834319526627219,0.1834319526627219,True,0.18359467455621303,0.1301775147928994,0.24275147928994,2000,169,169
B2_corrected,pointnet,softmax,subject,macro_f1,1,0.1429083734506382,0.0,0.1429083734506382,0.1429083734506382,True,0.1453563246728486,0.09852438055923393,0.19712631645832807,2000,169,169
B2_corrected,pointnet,softmax,subject,macro_auc,1,0.853967639717106,0.0,0.853967639717106,0.853967639717106,True,0.8513208429854008,0.8255335829801083,0.8755710969766679,2000,169,169
B2_corrected,pointnet,proto,scan,accuracy,1,0.1431578947368421,0.0,0.1431578947368421,0.1431578947368421,True,0.14333664301055435,0.1022871165890477,0.18669270427365656,2000,169,475
B2_corrected,pointnet,proto,scan,macro_f1,1,0.1228643401071846,0.0,0.1228643401071846,0.1228643401071846,True,0.12320864676217351,0.08795611679035228,0.1578249817485779,2000,169,475
B2_corrected,pointnet,proto,scan,macro_auc,1,0.7788134998192023,0.0,0.7788134998192023,0.7788134998192023,True,0.7904959232335891,0.7610973088001737,0.8224090658176234,2000,169,475
B2_corrected,pointnet,proto,subject,accuracy,1,0.17159763313609466,0.0,0.17159763313609466,0.17159763313609466,True,0.1720473372781065,0.11834319526627218,0.23076923076923078,2000,169,169
B2_corrected,pointnet,proto,subject,macro_f1,1,0.1465854815657187,0.0,0.1465854815657187,0.1465854815657187,True,0.1476398899205078,0.09775787846373585,0.2003147190721969,2000,169,169
B2_corrected,pointnet,proto,subject,macro_auc,1,0.8144275815423413,0.0,0.8144275815423413,0.8144275815423413,True,0.8251619903946438,0.7929351816733557,0.8617098095690717,2000,169,169
B2_corrected,pointnet,knn11,scan,accuracy,1,0.19789473684210526,0.0,0.19789473684210526,0.19789473684210526,True,0.1982861954736304,0.15513517645003494,0.2460899984325795,2000,169,475
B2_corrected,pointnet,knn11,scan,macro_f1,1,0.16401936869950434,0.0,0.16401936869950434,0.16401936869950434,True,0.1611761686226136,0.12514432103132467,0.19773588912483636,2000,169,475
B2_corrected,pointnet,knn11,scan,macro_auc,1,0.7328200653964072,0.0,0.7328200653964072,0.7328200653964072,True,0.7500412099238515,0.7146850425586612,0.7895130396687153,2000,169,475
B2_corrected,pointnet,knn11,subject,accuracy,1,0.1893491124260355,0.0,0.1893491124260355,0.1893491124260355,True,0.18953846153846154,0.13594674556213018,0.2485207100591716,2000,169,169
B2_corrected,pointnet,knn11,subject,macro_f1,1,0.1469526512307261,0.0,0.1469526512307261,0.1469526512307261,True,0.14962192068616129,0.10404196246889914,0.19650003858227533,2000,169,169
B2_corrected,pointnet,knn11,subject,macro_auc,1,0.7750053915237769,0.0,0.7750053915237769,0.7750053915237769,True,0.7912726489895194,0.7522789973334414,0.8374632400798578,2000,169,169
B2_corrected,dgcnn,softmax,scan,accuracy,1,0.22526315789473683,0.0,0.22526315789473683,0.22526315789473683,True,0.22588248642298647,0.17977224086774649,0.2768256302727335,2000,169,475
B2_corrected,dgcnn,softmax,scan,macro_f1,1,0.20322947745589534,0.0,0.20322947745589534,0.20322947745589534,True,0.20518875444070347,0.16470665366698645,0.24882470695236358,2000,169,475
B2_corrected,dgcnn,softmax,scan,macro_auc,1,0.8532582120421238,0.0,0.8532582120421238,0.8532582120421238,True,0.8534203658070637,0.8266546576068526,0.8785908721365546,2000,169,475
B2_corrected,dgcnn,softmax,subject,accuracy,1,0.34911242603550297,0.0,0.34911242603550297,0.34911242603550297,True,0.3486863905325444,0.2781065088757396,0.42011834319526625,2000,169,169
