base_task,encoder,head,level,metric,train_seed,value,infer_seed_sd,n_infer_seeds,n_units,n_subjects
A1_fix,dgcnn,softmax,scan,accuracy,2,0.7589893100097181,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,accuracy,3,0.7891156462585034,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,accuracy,4,0.7482993197278912,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,accuracy,5,0.543245869776482,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip,1,0.1269841269841269,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip,2,0.0,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip,3,0.0425531914893617,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip,4,0.0416666666666666,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip,5,0.0519480519480519,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,1,0.3103448275862069,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,2,0.3297491039426523,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,3,0.1724137931034483,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,4,0.2727272727272727,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,5,0.2440318302387268,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Palate,1,0.0714285714285714,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Palate,2,0.0377358490566037,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Palate,3,0.0377358490566037,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Palate,4,0.0547945205479452,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Cleft Palate,5,0.050251256281407,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Unaffected,1,0.793485342019544,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Unaffected,2,0.8758949880668258,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Unaffected,3,0.8912556053811659,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Unaffected,4,0.8660766961651918,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,f1_class::Unaffected,5,0.7202846975088968,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_auc,1,0.7027077599944673,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_auc,2,0.7110699615923833,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_auc,3,0.6619440277949095,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_auc,4,0.6874588043028607,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_auc,5,0.6561098408122941,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_f1,1,0.3255607170046123,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_f1,2,0.3108449852665205,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_f1,3,0.2859896097576448,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_f1,4,0.308816289026769,0.0,1,1029,1029
A1_fix,dgcnn,softmax,scan,macro_f1,5,0.2666289589942706,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,accuracy,1,0.5743440233236151,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,accuracy,2,0.6015549076773566,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,accuracy,3,0.5636540330417882,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,accuracy,4,0.5821185617103984,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,accuracy,5,0.5860058309037901,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip,1,0.0620155038759689,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip,2,0.1176470588235294,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip,3,0.1320754716981132,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip,4,0.0625,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip,5,0.1098901098901098,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,1,0.2291021671826625,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,2,0.2030075187969924,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,3,0.1850746268656716,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,4,0.2156862745098039,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,5,0.2387267904509283,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Palate,1,0.0601503759398496,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Palate,2,0.0558659217877094,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Palate,3,0.0745341614906832,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Palate,4,0.0747663551401869,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Cleft Palate,5,0.0930232558139534,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Unaffected,1,0.7413441955193483,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Unaffected,2,0.7690271343481139,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Unaffected,3,0.7362637362637363,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Unaffected,4,0.7501683501683502,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,f1_class::Unaffected,5,0.7488021902806297,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_auc,1,0.5781841300336256,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_auc,2,0.5914688299136219,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_auc,3,0.5720260676843287,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_auc,4,0.59481536869334,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_auc,5,0.6118685724878107,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_f1,1,0.2731530606294574,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_f1,2,0.2863869084390863,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_f1,3,0.2819869990795511,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_f1,4,0.2757802449545852,0.0,1,1029,1029
A1_fix,geommlp,softmax,scan,macro_f1,5,0.2976105866089054,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,accuracy,1,0.7764820213799806,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,accuracy,2,0.6015549076773566,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,accuracy,3,0.7755102040816326,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,accuracy,4,0.7793974732750243,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,accuracy,5,0.750242954324587,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip,1,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip,2,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip,3,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip,4,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip,5,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,1,0.1128205128205128,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,2,0.215633423180593,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,3,0.0932642487046632,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,4,0.0681818181818181,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,5,0.1052631578947368,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Palate,1,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Palate,2,0.0472440944881889,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Palate,3,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Cleft Palate,4,0.0,0.0,1,1029,1029
